username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,,,,,,
Neng Aprilia,KurangMr,4/3/2019 10:32,0,2,Papua di tangan jokowi # LombokJokowiAmin # JokowiPresidenLagipic.twitter.com/RehIjazvDY,,,# #,1.11328E+18,https://twitter.com/KurangMr/status/1113283192495046656,,,,,,
Iland van de shithead,IlandDe,4/3/2019 13:38,0,0,Paska debat Capres salah 1 capres Jokowi bilang tata kelola pelabuhan Masih di Pegang kendali Pelindo ll kenyataannya?#SaveOurIndonesiaPort# # PelabuhanMilikPublik # SalamAkalsehatpic.twitter.com/TO1XhKPqZD,,,#SaveOurIndonesiaPort # # #,1.11333E+18,https://twitter.com/IlandDe/status/1113329973463384064,,,,,,
#17AprilCoblosJokowi,Elina_Vay,4/3/2019 13:01,12,21,SORONG MANTUL.... JOKOWI JOKOWI JOKOWI # 17AprilCoblosJokowiAmin # 17AprilCoblosBajuPutihpic.twitter.com/MAkxz2fx8V,,,# #,1.11332E+18,https://twitter.com/Elina_Vay/status/1113320531120480256,,,,,,
Raúl,SiegerAnwalt,4/3/2019 12:42,6,4,alasan memilih jokowi (4) pic.twitter.com/8izlqihY0C,,,,1.11332E+18,https://twitter.com/SiegerAnwalt/status/1113315872557326336,,,,,,
B J Kurniawan,bima_kencana19,4/3/2019 10:42,79,131,"Bali insha allah Pilih @ jokowi 90%. Para semeton Bali sareng sami, tgl 17 April 2019 ayo datang berbondong bondong ke TPS ntuk Coblos Baju Putih, Coblos Jokowi-Amin No.01.. # 17AprilCoblosJokowiAmin @ NurmaTgr @ P3nj3l4j4h @ ddherih @ Lingwinata76 @ TheArieAir @ JajangRidwan19pic.twitter.com/RBVLACewAf",,@ @ @ @ @ @ @,#,1.11329E+18,https://twitter.com/bima_kencana19/status/1113285524494508032,,,,,,
Focus [Work] Keep [Enjoy],sitimymunn,4/3/2019 10:28,24,27,Sosok Pak @ jokowi dimata Kak Enno Lerian :) Yuk gunakan hak pilihmu untuk Indoensia Maju # RabuPutihJokowiMenangpic.twitter.com/0J3kDnZFPW,,@,#,1.11328E+18,https://twitter.com/sitimymunn/status/1113282178677215234,,,,,,
Dodi Febriansyah,DodiFebriansya8,4/3/2019 10:16,0,1,Salam komando pak JOKOWI # RabuPutihJokowiMenangpic.twitter.com/APRQF4Zkgd,,,#,1.11328E+18,https://twitter.com/DodiFebriansya8/status/1113279144857526272,,,,,,
HOPE (pray 4all Muslims ),EV220622,4/3/2019 10:12,48,83,2019 KALAH!!!! BERGEMURUH DI KAMPANYE 01 SAKIT TAK BERDARAH KETIKA RAKYAT BERANI MENYUARAKN SUARA BERBEDA DI DEPAN PEMIMPINNYA NURANI RKYT MELAWAN WALAUPUN DIKUMPULKAN UNTUK.MEMBERI DUKUNGAN 01 OLEH MANTAN GUBERNUR yG PERNAH MENJADI PANUTAN NTB TETAP PADA 2019 JOKOWI KALAH pic.twitter.com/C3DZNuhNnI,,,,1.11328E+18,https://twitter.com/EV220622/status/1113278045391949824,,,,,,
#17AprilCoblosJokowi,Elina_Vay,4/3/2019 10:11,102,203,Met pagi bapak @ prabowo dapat salam dari Pakdhe @ jokowi Happy # isramiraj2019 ya pic.twitter.com/W79DTWnZ6b,,@ @,#,1.11328E+18,https://twitter.com/Elina_Vay/status/1113277726851362817,,,,,,
Gusna Yanti,yanti_gusna,4/3/2019 10:08,3,1,Perekonomian seluruh lapisan masyarakat semakin meningkat berkat kepemimpinan pak Jokowi. # RabuPutihJokowiMenang pic.twitter.com/EI280Ky6j2,,,#,1.11328E+18,https://twitter.com/yanti_gusna/status/1113276945653829632,,,,,,
SWEETSCHOTEL,Buruh0nline,4/3/2019 10:05,0,7,Saking kalapnya kampret # RabuPutihJokowiMenang # JokowiDILANjutkanLagipic.twitter.com/C9eZGeMB0r,,,# #,1.11328E+18,https://twitter.com/Buruh0nline/status/1113276208756678657,,,,,,
BERKARYA INFO,berkaryainfo,4/3/2019 10:02,11,20,"4.Jika kita tarik kesimpulan, maka yang terjadi justru sebaliknya : sepanjang sejarah indonesia baru di era Jokowi dalam hampir satu periode kepemimpinannya pemerintah hanya mampu menurunkan angka kemiskinan tidak sampai 2 persen . pic.twitter.com/21vVIfqgM0",,,,1.11328E+18,https://twitter.com/berkaryainfo/status/1113275659994824705,,,,,,
BERKARYA INFO,berkaryainfo,4/3/2019 10:01,9,16,"3. Sedangkan pd akhir pemerintahan Jokowi angka kemiskinan sesuai data BPS adlh 9,82 persen, itu artinya, pada masa pemerintahan JKW, 2014 sampai dgn thn 2018, rilease BPS terakhir, dpt ditarik kesimpulam bahwa pemerintah hy berhasil menurunkan angka kemiskinan sebesar 1,14% pic.twitter.com/FtGv74Kevf",,,,1.11328E+18,https://twitter.com/berkaryainfo/status/1113275308252098560,,,,,,
Neng Husna,NengHoesna,4/3/2019 10:00,59,65,Saya berdoa agar pak Jokowi diberikan kekuatan dalam memimpin negara kita. # RabuPutihJokowiMenangpic.twitter.com/Dxqcda1MGB,,,#,1.11327E+18,https://twitter.com/NengHoesna/status/1113274984707678208,,,,,,
Neng Husna,NengHoesna,4/3/2019 9:57,10,13,Waw.. Banyak banget dukungan untuk Jokowi Amin # RabuPutihJokowiMenangpic.twitter.com/SVHt9xGbQ4,,,#,1.11327E+18,https://twitter.com/NengHoesna/status/1113274181817262081,,,,,,
Zhenryu,Emosev,4/3/2019 9:38,2,9,Keep Support Jokowi! ingat putih ingat jokowi # RabuPutih # RabuPutihJokowiMenangpic.twitter.com/bIUdDA1CkC,,,# #,1.11327E+18,https://twitter.com/Emosev/status/1113269404538531840,,,,,,
Ridlwan ꦗꦺꦴꦏꦺꦴꦮꦶ,ridlwandjogja,4/3/2019 9:24,127,172,"Hari Rabu 2 Minggu lagi, jam segini udah rapi wangi, pakai baju putih , ke TPS pilih pak @ jokowi Siap ? # RabuPutihJokowiMenangpic.twitter.com/zy1LczZTjP",,@,#,1.11327E+18,https://twitter.com/ridlwandjogja/status/1113265877762199552,,,,,,
Voice Of Change 🇮🇩,UtuhWibowo,4/3/2019 9:00,317,362,Mari Bantu Aminkan Kampanye 01 Bersama TGB - Senin 2 April 2019 di NTB SAYA TANYA.... 2019 .... KALAH 2019 .... KALAH 2019 .... KALAH @ Jokowi KALAH?? IYA..............??????? Aamiin... Aamiin.. Tembuskan 1000 RT # 2MingguLagiCoblosPrabowopic.twitter.com/wxo2NH5uGc,,@,#,1.11326E+18,https://twitter.com/UtuhWibowo/status/1113259905849249792,,,,,,
ferdyhusnanto,ferdyhusnanto,4/3/2019 8:51,25,20,Ulama Ulama terbaik bersama Jokowi # RabuPutihJokowiMenangpic.twitter.com/E6zJDh2fa6,,,#,1.11326E+18,https://twitter.com/ferdyhusnanto/status/1113257778317905920,,,,,,
